,Message
0,"Dear Guest, Thanks for choosing The Edison. Order ID 3645. Delivery by 2013-12-18 21:57. Enjoy 10% discount on your next purchase. Code NL99J9. T&C."
1,"Welcome to Southern University at Shreveport R.No. 449, 133, 527 Ch.In 2013-03-21 17:56 Ch.out 2013-04-08 12:00."
2,Bill dated 2013-01-14 for Rs 626 has been generated for your Aircel fixedline/broadband relationship no. 66264666. The same will reach you by 2013-01-17. Due date: 2013-01-29.
3,Bill dated 2014-11-30 for Rs 323 has been generated for your Reliance fixedline/broadband relationship no. 48666878. The same will reach you by 2014-12-03. Due date: 2014-12-15.
4,"DEAR Zachary, THANK YOU FOR YOUR BOOKING (ORDER ID: 37841), YOUR ORDER HAS BEEN ASSIGNED TO Andres(9756754488) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-05-21 at 18:21. FOR ASSISTANCE WHATSAPP US ON 8734813615."
5,"PNR:5672673362,TRAIN:2564,DOJ:2010-12-04,AC3,AMLI-BHTR,Dep:13:32, Ashton,B7 36 , Fare:2427,SC:10.0+PG+INS"
6,Appointment with Dr Hector in ANWATTI on 2015-01-30 at 12:46 is confirmed. For queries call 1800 7478 5177. Your appt. might get delayed in case the doctor is attending an emergency.
7,"Repair ref.no for your car is JC22723666 opened on 2015-03-09 3:39hrs,ETD of your car is 2015-03-10 3:46hrs and est.repair amt is Rs.534 Rgds, Maha Veer Auto Agency"
8,The PNR for your INDIGO Flt 6X837 for DMU-PAB on 2012-10-01 at 17:37 hrs  is H6UJHN. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9,"Welcome to Telecaf R.No. 524, 573, 519 Ch.In 2012-12-01 9:44 Ch.out 2012-12-15 12:00."
10,"PNR:5531657287,TRAIN:32241,DOJ:2011-05-10,FC,ALM-BHLK,Dep:7:18, Kaiden,F4 62 , Fare:7934,SC:10.0+PG+INS"
11,* KSRTC m-Ticket *  from: PAYYANUR to: MANDYA PsngrName: Andre TripCode: 1213PAYMAN PNR No.: J85396935 JnyDate: 2013-02-18 DepTime: 12:13  SeatNo.: 40  Class: Non-AC chair  BoardingPt: PAYYANUR Bus Stand Road Txn Password: 8871 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
12,"Repair ref.no for your car is JC53254811 opened on 2010-11-19 18:15hrs,ETD of your car is 2010-11-20 11:34hrs and est.repair amt is Rs.1359 Rgds, Bimal Auto Agency"
13,Bill dated 2012-09-07 for Rs 501 has been generated for your Airtel fixedline/broadband relationship no. 73346675. The same will reach you by 2012-09-10. Due date: 2012-09-22.
14,"Hi Customer, Booking ID: WEEBDTW. Seats: PLATINUM-A8,A9,A10,A11,A12, 5 seat(s) for Deadpool on 2012-01-14 22:49 at INOX: Forum Neighbourhood Mall, Whitefield. Please carry your CC/DC card which was used for booking tickets."
15,"Repair ref.no for your car is JC32737582 opened on 2013-07-13 5:56hrs,ETD of your car is 2013-07-14 3:17hrs and est.repair amt is Rs.1345 Rgds, Maha Veer Auto Agency"
16,Appointment with Dr Andre in Mangaluru on 2012-10-26 at 15:47 is confirmed. For queries call 1800 4431 4627. Your appt. might get delayed in case the doctor is attending an emergency.
